Time	Conc
2229.292	0.00357
2229.333	0.00357
2229.375	0.00358
2229.417	0.00358
2229.458	0.00359
2229.5	0.00359
2229.542	0.0036
2229.583	0.00361
2229.625	0.00361
2229.667	0.00362
2229.708	0.00362
2229.75	0.00363
2229.792	0.00363
2229.833	0.00364
2229.875	0.00364
2229.917	0.00365
2229.958	0.00366
2230	0.00366
2230.042	0.00367
2230.083	0.00367
2230.125	0.00368
2230.167	0.00368
2230.208	0.00369
2230.25	0.0037
2230.292	0.0037
2230.333	0.00371
2230.375	0.00371
2230.417	0.00372
2230.458	0.00372
2230.5	0.00373
2230.542	0.00373
2230.583	0.00374
2230.625	0.00374
2230.667	0.00375
2230.708	0.00375
2230.75	0.00376
2230.792	0.00376
2230.833	0.00377
2230.875	0.00378
2230.917	0.00378
2230.958	0.00379
2231	0.00379
2231.042	0.0038
2231.083	0.0038
2231.125	0.00381
2231.167	0.00381
2231.208	0.00382
2231.25	0.00382
2231.292	0.00383
2231.333	0.00383
2231.375	0.00384
2231.417	0.00384
2231.458	0.00385
2231.5	0.00385
2231.542	0.00386
2231.583	0.00386
2231.625	0.00386
2231.667	0.00387
2231.708	0.00387
2231.75	0.00388
2231.792	0.00388
2231.833	0.00389
2231.875	0.00389
2231.917	0.0039
2231.958	0.0039
2232	0.00391
2232.042	0.00391
2232.083	0.00392
2232.125	0.00392
2232.167	0.00393
2232.208	0.00393
2232.25	0.00394
2232.292	0.00394
2232.333	0.00395
2232.375	0.00395
2232.417	0.00395
2232.458	0.00396
2232.5	0.00396
2232.542	0.00397
2232.583	0.00397
2232.625	0.00398
2232.667	0.00398
2232.708	0.00399
2232.75	0.00399
2232.792	0.004
2232.833	0.004
2232.875	0.004
2232.917	0.00401
2232.958	0.00401
2233	0.00402
2233.042	0.00402
2233.083	0.00403
2233.125	0.00403
2233.167	0.00403
2233.208	0.00404
2233.25	0.00404
2233.292	0.00405
2233.333	0.00405
2233.375	0.00405
2233.417	0.00406
2233.458	0.00406
2233.5	0.00407
2233.542	0.00407
2233.583	0.00407
2233.625	0.00408
2233.667	0.00408
2233.708	0.00409
2233.75	0.00409
2233.792	0.00409
2233.833	0.0041
2233.875	0.0041
2233.917	0.00411
2233.958	0.00411
2234	0.00411
2234.042	0.00412
2234.083	0.00412
2234.125	0.00412
2234.167	0.00413
2234.208	0.00413
2234.25	0.00413
2234.292	0.00414
2234.333	0.00414
2234.375	0.00415
2234.417	0.00415
2234.458	0.00415
2234.5	0.00416
2234.542	0.00416
2234.583	0.00416
2234.625	0.00417
2234.667	0.00417
2234.708	0.00417
2234.75	0.00418
2234.792	0.00418
2234.833	0.00418
2234.875	0.00419
2234.917	0.00419
2234.958	0.00419
2235	0.0042
2235.042	0.0042
2235.083	0.0042
2235.125	0.00421
2235.167	0.00421
2235.208	0.00421
2235.25	0.00421
2235.292	0.00422
2235.333	0.00422
2235.375	0.00422
2235.417	0.00423
2235.458	0.00423
2235.5	0.00423
2235.542	0.00424
2235.583	0.00424
2235.625	0.00424
2235.667	0.00424
2235.708	0.00425
2235.75	0.00425
2235.792	0.00425
2235.833	0.00426
2235.875	0.00426
2235.917	0.00426
2235.958	0.00426
2236	0.00427
2236.042	0.00427
2236.083	0.00427
2236.125	0.00428
2236.167	0.00428
2236.208	0.00428
2236.25	0.00428
2236.292	0.00429
2236.333	0.00429
2236.375	0.00429
2236.417	0.00429
2236.458	0.0043
2236.5	0.0043
2236.542	0.0043
2236.583	0.00431
2236.625	0.00431
2236.667	0.00431
2236.708	0.00431
2236.75	0.00432
2236.792	0.00432
2236.833	0.00432
2236.875	0.00432
2236.917	0.00433
2236.958	0.00433
2237	0.00433
2237.042	0.00433
2237.083	0.00434
2237.125	0.00434
2237.167	0.00434
2237.208	0.00434
2237.25	0.00434
2237.292	0.00435
2237.333	0.00435
2237.375	0.00435
2237.417	0.00435
2237.458	0.00436
2237.5	0.00436
2237.542	0.00436
2237.583	0.00436
2237.625	0.00437
2237.667	0.00437
2237.708	0.00437
2237.75	0.00437
2237.792	0.00437
2237.833	0.00438
2237.875	0.00438
2237.917	0.00438
2237.958	0.00438
2238	0.00438
2238.042	0.00439
2238.083	0.00439
2238.125	0.00439
2238.167	0.00439
2238.208	0.00439
2238.25	0.0044
2238.292	0.0044
2238.333	0.0044
2238.375	0.0044
2238.417	0.0044
2238.458	0.00441
2238.5	0.00441
2238.542	0.00441
2238.583	0.00441
2238.625	0.00441
2238.667	0.00442
2238.708	0.00442
2238.75	0.00442
2238.792	0.00442
2238.833	0.00442
2238.875	0.00443
2238.917	0.00443
2238.958	0.00443
2239	0.00443
2239.042	0.00443
2239.083	0.00443
2239.125	0.00444
2239.167	0.00444
2239.208	0.00444
2239.25	0.00444
2239.292	0.00444
2239.333	0.00445
2239.375	0.00445
2239.417	0.00445
2239.458	0.00445
2239.5	0.00445
2239.542	0.00445
2239.583	0.00446
2239.625	0.00446
2239.667	0.00446
2239.708	0.00446
2239.75	0.00446
2239.792	0.00446
2239.833	0.00446
2239.875	0.00447
2239.917	0.00447
2239.958	0.00447
2240	0.00447
2240.042	0.00447
2240.083	0.00447
2240.125	0.00448
2240.167	0.00448
2240.208	0.00448
2240.25	0.00448
2240.292	0.00448
2240.333	0.00448
2240.375	0.00448
2240.417	0.00448
2240.458	0.00449
2240.5	0.00449
2240.542	0.00449
2240.583	0.00449
2240.625	0.00449
2240.667	0.00449
2240.708	0.00449
2240.75	0.0045
2240.792	0.0045
2240.833	0.0045
2240.875	0.0045
2240.917	0.0045
2240.958	0.0045
2241	0.0045
2241.042	0.0045
2241.083	0.00451
2241.125	0.00451
2241.167	0.00451
2241.208	0.00451
2241.25	0.00451
2241.292	0.00451
2241.333	0.00451
2241.375	0.00451
2241.417	0.00451
2241.458	0.00452
2241.5	0.00452
2241.542	0.00452
2241.583	0.00452
2241.625	0.00452
2241.667	0.00452
2241.708	0.00452
2241.75	0.00452
2241.792	0.00452
2241.833	0.00452
2241.875	0.00453
2241.917	0.00453
2241.958	0.00453
2242	0.00453
2242.042	0.00453
2242.083	0.00453
2242.125	0.00453
2242.167	0.00453
2242.208	0.00453
2242.25	0.00453
2242.292	0.00453
2242.333	0.00454
2242.375	0.00454
2242.417	0.00454
2242.458	0.00454
2242.5	0.00454
2242.542	0.00454
2242.583	0.00454
2242.625	0.00454
2242.667	0.00454
2242.708	0.00454
2242.75	0.00454
2242.792	0.00454
2242.833	0.00454
2242.875	0.00455
2242.917	0.00455
2242.958	0.00455
2243	0.00455
2243.042	0.00455
2243.083	0.00455
2243.125	0.00455
2243.167	0.00455
2243.208	0.00455
2243.25	0.00455
2243.292	0.00455
2243.333	0.00455
2243.375	0.00455
2243.417	0.00455
2243.458	0.00455
2243.5	0.00455
2243.542	0.00455
2243.583	0.00456
2243.625	0.00456
2243.667	0.00456
2243.708	0.00456
2243.75	0.00456
2243.792	0.00456
2243.833	0.00456
2243.875	0.00456
2243.917	0.00456
2243.958	0.00456
2244	0.00456
2244.042	0.00456
2244.083	0.00456
2244.125	0.00456
2244.167	0.00456
2244.208	0.00456
2244.25	0.00456
2244.292	0.00456
2244.333	0.00456
2244.375	0.00456
2244.417	0.00456
2244.458	0.00456
